seed,method,method_code,scenario,scenario_code,cases,unique_top1,mrr,tie_rate
42,character_trigram_text,M3,amount_variation,P1,100,0.850000000000,0.913333333333,0.000000000000
42,character_trigram_text,M3,combined_variation,P7,100,0.710000000000,0.830666666667,0.000000000000
42,character_trigram_text,M3,date_variation,P2,100,0.680000000000,0.815833333333,0.010000000000
42,character_trigram_text,M3,description_variation,P5,100,0.830000000000,0.900000000000,0.000000000000
42,character_trigram_text,M3,entity_variation,P4,100,0.850000000000,0.913333333333,0.000000000000
42,character_trigram_text,M3,missing_information,P6,100,0.670000000000,0.823833333333,0.040000000000
42,character_trigram_text,M3,natural_variation,P0,100,0.850000000000,0.913333333333,0.000000000000
42,character_trigram_text,M3,reference_variation,P3,100,0.830000000000,0.903333333333,0.000000000000
42,field_aware,M4,amount_variation,P1,100,0.860000000000,0.916666666667,0.000000000000
42,field_aware,M4,combined_variation,P7,100,0.710000000000,0.827333333333,0.000000000000
42,field_aware,M4,date_variation,P2,100,0.790000000000,0.870000000000,0.010000000000
42,field_aware,M4,description_variation,P5,100,0.870000000000,0.920000000000,0.000000000000
42,field_aware,M4,entity_variation,P4,100,0.860000000000,0.916666666667,0.000000000000
42,field_aware,M4,missing_information,P6,100,0.700000000000,0.838833333333,0.040000000000
42,field_aware,M4,natural_variation,P0,100,0.860000000000,0.916666666667,0.000000000000
42,field_aware,M4,reference_variation,P3,100,0.810000000000,0.891666666667,0.000000000000
42,field_aware_without_description,M4-D,amount_variation,P1,100,0.780000000000,0.908666666667,0.130000000000
42,field_aware_without_description,M4-D,combined_variation,P7,100,0.710000000000,0.858904761905,0.120000000000
42,field_aware_without_description,M4-D,date_variation,P2,100,0.760000000000,0.866476190476,0.080000000000
42,field_aware_without_description,M4-D,description_variation,P5,100,0.780000000000,0.908666666667,0.130000000000
42,field_aware_without_description,M4-D,entity_variation,P4,100,0.780000000000,0.908666666667,0.130000000000
42,field_aware_without_description,M4-D,missing_information,P6,100,0.630000000000,0.846000000000,0.240000000000
42,field_aware_without_description,M4-D,natural_variation,P0,100,0.780000000000,0.908666666667,0.130000000000
42,field_aware_without_description,M4-D,reference_variation,P3,100,0.740000000000,0.888666666667,0.130000000000
42,jaro_winkler_text,M2,amount_variation,P1,100,0.740000000000,0.865000000000,0.000000000000
42,jaro_winkler_text,M2,combined_variation,P7,100,0.580000000000,0.765666666667,0.000000000000
42,jaro_winkler_text,M2,date_variation,P2,100,0.460000000000,0.695000000000,0.010000000000
42,jaro_winkler_text,M2,description_variation,P5,100,0.760000000000,0.875000000000,0.000000000000
42,jaro_winkler_text,M2,entity_variation,P4,100,0.740000000000,0.865000000000,0.000000000000
42,jaro_winkler_text,M2,missing_information,P6,100,0.580000000000,0.790666666667,0.050000000000
42,jaro_winkler_text,M2,natural_variation,P0,100,0.740000000000,0.865000000000,0.000000000000
42,jaro_winkler_text,M2,reference_variation,P3,100,0.750000000000,0.870000000000,0.000000000000
42,normalized_exact,M0,amount_variation,P1,100,0.610000000000,0.771060606061,0.370000000000
42,normalized_exact,M0,combined_variation,P7,100,0.360000000000,0.604666666667,0.540000000000
42,normalized_exact,M0,date_variation,P2,100,0.630000000000,0.789333333333,0.340000000000
42,normalized_exact,M0,description_variation,P5,100,0.640000000000,0.825333333333,0.340000000000
42,normalized_exact,M0,entity_variation,P4,100,0.640000000000,0.825333333333,0.340000000000
42,normalized_exact,M0,missing_information,P6,100,0.320000000000,0.671333333333,0.640000000000
42,normalized_exact,M0,natural_variation,P0,100,0.640000000000,0.825333333333,0.340000000000
42,normalized_exact,M0,reference_variation,P3,100,0.300000000000,0.666857142857,0.670000000000
42,tolerant_deterministic,M1,amount_variation,P1,100,0.670000000000,0.830000000000,0.330000000000
42,tolerant_deterministic,M1,combined_variation,P7,100,0.330000000000,0.648978354978,0.640000000000
42,tolerant_deterministic,M1,date_variation,P2,100,0.590000000000,0.793357142857,0.390000000000
42,tolerant_deterministic,M1,description_variation,P5,100,0.670000000000,0.835000000000,0.330000000000
42,tolerant_deterministic,M1,entity_variation,P4,100,0.670000000000,0.835000000000,0.330000000000
42,tolerant_deterministic,M1,missing_information,P6,100,0.330000000000,0.665000000000,0.670000000000
42,tolerant_deterministic,M1,natural_variation,P0,100,0.670000000000,0.835000000000,0.330000000000
42,tolerant_deterministic,M1,reference_variation,P3,100,0.320000000000,0.660000000000,0.680000000000
43,character_trigram_text,M3,amount_variation,P1,100,0.830000000000,0.895833333333,0.000000000000
43,character_trigram_text,M3,combined_variation,P7,100,0.770000000000,0.857055555556,0.000000000000
43,character_trigram_text,M3,date_variation,P2,100,0.710000000000,0.820666666667,0.010000000000
43,character_trigram_text,M3,description_variation,P5,100,0.820000000000,0.894166666667,0.000000000000
43,character_trigram_text,M3,entity_variation,P4,100,0.830000000000,0.895833333333,0.000000000000
43,character_trigram_text,M3,missing_information,P6,100,0.640000000000,0.807166666667,0.070000000000
43,character_trigram_text,M3,natural_variation,P0,100,0.830000000000,0.895833333333,0.000000000000
43,character_trigram_text,M3,reference_variation,P3,100,0.820000000000,0.890833333333,0.000000000000
43,field_aware,M4,amount_variation,P1,100,0.830000000000,0.895833333333,0.000000000000
43,field_aware,M4,combined_variation,P7,100,0.780000000000,0.862055555556,0.000000000000
43,field_aware,M4,date_variation,P2,100,0.780000000000,0.855666666667,0.010000000000
43,field_aware,M4,description_variation,P5,100,0.850000000000,0.909166666667,0.000000000000
43,field_aware,M4,entity_variation,P4,100,0.830000000000,0.895833333333,0.000000000000
43,field_aware,M4,missing_information,P6,100,0.640000000000,0.807166666667,0.070000000000
43,field_aware,M4,natural_variation,P0,100,0.830000000000,0.895833333333,0.000000000000
43,field_aware,M4,reference_variation,P3,100,0.750000000000,0.854166666667,0.000000000000
43,field_aware_without_description,M4-D,amount_variation,P1,100,0.790000000000,0.907333333333,0.110000000000
43,field_aware_without_description,M4-D,combined_variation,P7,100,0.740000000000,0.855619047619,0.080000000000
43,field_aware_without_description,M4-D,date_variation,P2,100,0.730000000000,0.842793650794,0.080000000000
43,field_aware_without_description,M4-D,description_variation,P5,100,0.790000000000,0.910000000000,0.120000000000
43,field_aware_without_description,M4-D,entity_variation,P4,100,0.790000000000,0.910000000000,0.120000000000
43,field_aware_without_description,M4-D,missing_information,P6,100,0.570000000000,0.817666666667,0.250000000000
43,field_aware_without_description,M4-D,natural_variation,P0,100,0.790000000000,0.910000000000,0.120000000000
43,field_aware_without_description,M4-D,reference_variation,P3,100,0.700000000000,0.865000000000,0.120000000000
43,jaro_winkler_text,M2,amount_variation,P1,100,0.640000000000,0.813333333333,0.000000000000
43,jaro_winkler_text,M2,combined_variation,P7,100,0.530000000000,0.731857142857,0.020000000000
43,jaro_winkler_text,M2,date_variation,P2,100,0.470000000000,0.688666666667,0.020000000000
43,jaro_winkler_text,M2,description_variation,P5,100,0.630000000000,0.811666666667,0.000000000000
43,jaro_winkler_text,M2,entity_variation,P4,100,0.640000000000,0.815000000000,0.000000000000
43,jaro_winkler_text,M2,missing_information,P6,100,0.530000000000,0.753666666667,0.060000000000
43,jaro_winkler_text,M2,natural_variation,P0,100,0.640000000000,0.815000000000,0.000000000000
43,jaro_winkler_text,M2,reference_variation,P3,100,0.650000000000,0.820000000000,0.000000000000
43,normalized_exact,M0,amount_variation,P1,100,0.570000000000,0.769090909091,0.410000000000
43,normalized_exact,M0,combined_variation,P7,100,0.420000000000,0.637121212121,0.530000000000
43,normalized_exact,M0,date_variation,P2,100,0.570000000000,0.762666666667,0.380000000000
43,normalized_exact,M0,description_variation,P5,100,0.570000000000,0.807333333333,0.410000000000
43,normalized_exact,M0,entity_variation,P4,100,0.570000000000,0.807333333333,0.410000000000
43,normalized_exact,M0,missing_information,P6,100,0.290000000000,0.660000000000,0.640000000000
43,normalized_exact,M0,natural_variation,P0,100,0.570000000000,0.807333333333,0.410000000000
43,normalized_exact,M0,reference_variation,P3,100,0.300000000000,0.663333333333,0.640000000000
43,tolerant_deterministic,M1,amount_variation,P1,100,0.660000000000,0.825333333333,0.330000000000
43,tolerant_deterministic,M1,combined_variation,P7,100,0.390000000000,0.673796536797,0.580000000000
43,tolerant_deterministic,M1,date_variation,P2,100,0.610000000000,0.785000000000,0.360000000000
43,tolerant_deterministic,M1,description_variation,P5,100,0.660000000000,0.830000000000,0.340000000000
43,tolerant_deterministic,M1,entity_variation,P4,100,0.660000000000,0.830000000000,0.340000000000
43,tolerant_deterministic,M1,missing_information,P6,100,0.330000000000,0.665000000000,0.670000000000
43,tolerant_deterministic,M1,natural_variation,P0,100,0.660000000000,0.830000000000,0.340000000000
43,tolerant_deterministic,M1,reference_variation,P3,100,0.350000000000,0.675000000000,0.650000000000
44,character_trigram_text,M3,amount_variation,P1,100,0.800000000000,0.888333333333,0.000000000000
44,character_trigram_text,M3,combined_variation,P7,100,0.640000000000,0.795666666667,0.010000000000
44,character_trigram_text,M3,date_variation,P2,100,0.630000000000,0.791166666667,0.030000000000
44,character_trigram_text,M3,description_variation,P5,100,0.820000000000,0.897500000000,0.000000000000
44,character_trigram_text,M3,entity_variation,P4,100,0.800000000000,0.888333333333,0.000000000000
44,character_trigram_text,M3,missing_information,P6,100,0.620000000000,0.800500000000,0.070000000000
44,character_trigram_text,M3,natural_variation,P0,100,0.800000000000,0.888333333333,0.000000000000
44,character_trigram_text,M3,reference_variation,P3,100,0.780000000000,0.876666666667,0.000000000000
44,field_aware,M4,amount_variation,P1,100,0.850000000000,0.913333333333,0.000000000000
44,field_aware,M4,combined_variation,P7,100,0.720000000000,0.835666666667,0.010000000000
44,field_aware,M4,date_variation,P2,100,0.760000000000,0.856166666667,0.030000000000
44,field_aware,M4,description_variation,P5,100,0.880000000000,0.927500000000,0.000000000000
44,field_aware,M4,entity_variation,P4,100,0.850000000000,0.913333333333,0.000000000000
44,field_aware,M4,missing_information,P6,100,0.720000000000,0.853833333333,0.070000000000
44,field_aware,M4,natural_variation,P0,100,0.850000000000,0.913333333333,0.000000000000
44,field_aware,M4,reference_variation,P3,100,0.770000000000,0.870000000000,0.000000000000
44,field_aware_without_description,M4-D,amount_variation,P1,100,0.810000000000,0.925333333333,0.140000000000
44,field_aware_without_description,M4-D,combined_variation,P7,100,0.680000000000,0.835761904762,0.110000000000
44,field_aware_without_description,M4-D,date_variation,P2,100,0.740000000000,0.848857142857,0.080000000000
44,field_aware_without_description,M4-D,description_variation,P5,100,0.810000000000,0.925333333333,0.140000000000
44,field_aware_without_description,M4-D,entity_variation,P4,100,0.810000000000,0.925333333333,0.140000000000
44,field_aware_without_description,M4-D,missing_information,P6,100,0.570000000000,0.828333333333,0.290000000000
44,field_aware_without_description,M4-D,natural_variation,P0,100,0.810000000000,0.925333333333,0.140000000000
44,field_aware_without_description,M4-D,reference_variation,P3,100,0.740000000000,0.890333333333,0.140000000000
44,jaro_winkler_text,M2,amount_variation,P1,100,0.660000000000,0.826666666667,0.000000000000
44,jaro_winkler_text,M2,combined_variation,P7,100,0.500000000000,0.715666666667,0.010000000000
44,jaro_winkler_text,M2,date_variation,P2,100,0.440000000000,0.684166666667,0.030000000000
44,jaro_winkler_text,M2,description_variation,P5,100,0.700000000000,0.843333333333,0.000000000000
44,jaro_winkler_text,M2,entity_variation,P4,100,0.660000000000,0.826666666667,0.000000000000
44,jaro_winkler_text,M2,missing_information,P6,100,0.470000000000,0.731666666667,0.090000000000
44,jaro_winkler_text,M2,natural_variation,P0,100,0.660000000000,0.826666666667,0.000000000000
44,jaro_winkler_text,M2,reference_variation,P3,100,0.650000000000,0.821666666667,0.000000000000
44,normalized_exact,M0,amount_variation,P1,100,0.590000000000,0.819545454545,0.400000000000
44,normalized_exact,M0,combined_variation,P7,100,0.400000000000,0.642333333333,0.550000000000
44,normalized_exact,M0,date_variation,P2,100,0.560000000000,0.760666666667,0.420000000000
44,normalized_exact,M0,description_variation,P5,100,0.620000000000,0.848666666667,0.370000000000
44,normalized_exact,M0,entity_variation,P4,100,0.620000000000,0.848666666667,0.370000000000
44,normalized_exact,M0,missing_information,P6,100,0.310000000000,0.700000000000,0.660000000000
44,normalized_exact,M0,natural_variation,P0,100,0.620000000000,0.848666666667,0.370000000000
44,normalized_exact,M0,reference_variation,P3,100,0.290000000000,0.686000000000,0.680000000000
44,tolerant_deterministic,M1,amount_variation,P1,100,0.660000000000,0.826000000000,0.340000000000
44,tolerant_deterministic,M1,combined_variation,P7,100,0.360000000000,0.675017316017,0.580000000000
44,tolerant_deterministic,M1,date_variation,P2,100,0.580000000000,0.780023809524,0.350000000000
44,tolerant_deterministic,M1,description_variation,P5,100,0.660000000000,0.830000000000,0.340000000000
44,tolerant_deterministic,M1,entity_variation,P4,100,0.660000000000,0.830000000000,0.340000000000
44,tolerant_deterministic,M1,missing_information,P6,100,0.330000000000,0.665000000000,0.670000000000
44,tolerant_deterministic,M1,natural_variation,P0,100,0.660000000000,0.830000000000,0.340000000000
44,tolerant_deterministic,M1,reference_variation,P3,100,0.310000000000,0.655000000000,0.690000000000
45,character_trigram_text,M3,amount_variation,P1,100,0.800000000000,0.891666666667,0.000000000000
45,character_trigram_text,M3,combined_variation,P7,100,0.700000000000,0.831666666667,0.020000000000
45,character_trigram_text,M3,date_variation,P2,100,0.610000000000,0.789000000000,0.010000000000
45,character_trigram_text,M3,description_variation,P5,100,0.820000000000,0.903333333333,0.000000000000
45,character_trigram_text,M3,entity_variation,P4,100,0.800000000000,0.891666666667,0.000000000000
45,character_trigram_text,M3,missing_information,P6,100,0.640000000000,0.812666666667,0.060000000000
45,character_trigram_text,M3,natural_variation,P0,100,0.800000000000,0.891666666667,0.000000000000
45,character_trigram_text,M3,reference_variation,P3,100,0.790000000000,0.886666666667,0.000000000000
45,field_aware,M4,amount_variation,P1,100,0.830000000000,0.906666666667,0.000000000000
45,field_aware,M4,combined_variation,P7,100,0.760000000000,0.861666666667,0.030000000000
45,field_aware,M4,date_variation,P2,100,0.760000000000,0.867333333333,0.010000000000
45,field_aware,M4,description_variation,P5,100,0.870000000000,0.928333333333,0.000000000000
45,field_aware,M4,entity_variation,P4,100,0.830000000000,0.906666666667,0.000000000000
45,field_aware,M4,missing_information,P6,100,0.640000000000,0.812666666667,0.060000000000
45,field_aware,M4,natural_variation,P0,100,0.830000000000,0.906666666667,0.000000000000
45,field_aware,M4,reference_variation,P3,100,0.790000000000,0.886666666667,0.000000000000
45,field_aware_without_description,M4-D,amount_variation,P1,100,0.830000000000,0.932666666667,0.130000000000
45,field_aware_without_description,M4-D,combined_variation,P7,100,0.730000000000,0.867238095238,0.160000000000
45,field_aware_without_description,M4-D,date_variation,P2,100,0.770000000000,0.883571428571,0.100000000000
45,field_aware_without_description,M4-D,description_variation,P5,100,0.830000000000,0.932666666667,0.130000000000
45,field_aware_without_description,M4-D,entity_variation,P4,100,0.830000000000,0.932666666667,0.130000000000
45,field_aware_without_description,M4-D,missing_information,P6,100,0.590000000000,0.841000000000,0.300000000000
45,field_aware_without_description,M4-D,natural_variation,P0,100,0.830000000000,0.932666666667,0.130000000000
45,field_aware_without_description,M4-D,reference_variation,P3,100,0.800000000000,0.917666666667,0.130000000000
45,jaro_winkler_text,M2,amount_variation,P1,100,0.680000000000,0.838333333333,0.000000000000
45,jaro_winkler_text,M2,combined_variation,P7,100,0.610000000000,0.779833333333,0.020000000000
45,jaro_winkler_text,M2,date_variation,P2,100,0.440000000000,0.689000000000,0.010000000000
45,jaro_winkler_text,M2,description_variation,P5,100,0.710000000000,0.850000000000,0.000000000000
45,jaro_winkler_text,M2,entity_variation,P4,100,0.680000000000,0.838333333333,0.000000000000
45,jaro_winkler_text,M2,missing_information,P6,100,0.510000000000,0.750666666667,0.090000000000
45,jaro_winkler_text,M2,natural_variation,P0,100,0.680000000000,0.838333333333,0.000000000000
45,jaro_winkler_text,M2,reference_variation,P3,100,0.700000000000,0.848333333333,0.000000000000
45,normalized_exact,M0,amount_variation,P1,100,0.550000000000,0.765606060606,0.430000000000
45,normalized_exact,M0,combined_variation,P7,100,0.420000000000,0.660287878788,0.550000000000
45,normalized_exact,M0,date_variation,P2,100,0.600000000000,0.772000000000,0.340000000000
45,normalized_exact,M0,description_variation,P5,100,0.560000000000,0.806666666667,0.420000000000
45,normalized_exact,M0,entity_variation,P4,100,0.560000000000,0.806666666667,0.420000000000
45,normalized_exact,M0,missing_information,P6,100,0.280000000000,0.672000000000,0.650000000000
45,normalized_exact,M0,natural_variation,P0,100,0.560000000000,0.806666666667,0.420000000000
45,normalized_exact,M0,reference_variation,P3,100,0.280000000000,0.678000000000,0.660000000000
45,tolerant_deterministic,M1,amount_variation,P1,100,0.660000000000,0.826000000000,0.340000000000
45,tolerant_deterministic,M1,combined_variation,P7,100,0.420000000000,0.678683982684,0.510000000000
