method,method_code,scenario,scenario_code,seeds,unique_top1_mean,unique_top1_std,mrr_mean,mrr_std,tie_rate_mean,tie_rate_std
field_aware,M4,missing_information,P6,5,0.670000000000,0.037416573868,0.828266666667,0.019066987177,0.062000000000,0.013038404810
field_aware,M4,combined_variation,P7,5,0.750000000000,0.033166247904,0.852344444444,0.019988669630,0.014000000000,0.015165750888
field_aware,M4,ALL,ALL,5,0.798000000000,0.010101051925,0.885038888889,0.008611832967,0.012250000000,0.004626688881
field_aware_without_description,M4-D,natural_variation,P0,5,0.800000000000,0.020000000000,0.918400000000,0.010323651378,0.132000000000,0.008366600265
field_aware_without_description,M4-D,amount_variation,P1,5,0.800000000000,0.020000000000,0.917866666667,0.010917875251,0.130000000000,0.012247448714
field_aware_without_description,M4-D,date_variation,P2,5,0.750000000000,0.015811388301,0.860669841270,0.015955067293,0.092000000000,0.017888543820
field_aware_without_description,M4-D,reference_variation,P3,5,0.744000000000,0.035777087640,0.890400000000,0.018652375482,0.132000000000,0.008366600265
field_aware_without_description,M4-D,entity_variation,P4,5,0.800000000000,0.020000000000,0.918400000000,0.010323651378,0.132000000000,0.008366600265
field_aware_without_description,M4-D,description_variation,P5,5,0.800000000000,0.020000000000,0.918400000000,0.010323651378,0.132000000000,0.008366600265
field_aware_without_description,M4-D,missing_information,P6,5,0.586000000000,0.026076809621,0.830866666667,0.012280517542,0.268000000000,0.025884358211
field_aware_without_description,M4-D,combined_variation,P7,5,0.716000000000,0.023021728866,0.854752380952,0.011583738308,0.116000000000,0.028809720582
field_aware_without_description,M4-D,ALL,ALL,5,0.749500000000,0.015324612556,0.888719444444,0.010068697740,0.141750000000,0.010990052320
